customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,One year,Yes,Electronic check,66.05,130.6,Yes
CUST00001,Female,0,No,Yes,2,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,Mailed check,73.18,129.3,Yes
CUST00002,Male,0,Yes,Yes,20,Yes,No,DSL,Yes,No,No,Month-to-month,No,Credit card (automatic),50.05,1008.91,No
CUST00003,Male,1,Yes,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),32.79,0.0,No
CUST00004,Male,0,No,No,7,Yes,No,DSL,No,Yes,Yes,Month-to-month,No,Electronic check,58.72,410.48,Yes
CUST00005,Female,0,No,No,9,Yes,No,DSL,No,Yes,Yes,Month-to-month,Yes,Mailed check,62.42,577.33,Yes
CUST00006,Male,1,Yes,No,5,Yes,No,Fiber optic,No,Yes,Yes,One year,Yes,Bank transfer (automatic),74.2,370.39,No
CUST00007,Male,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Mailed check,86.81,787.63,No
CUST00008,Male,1,No,Yes,1,Yes,No,DSL,No,Yes,No,Month-to-month,Yes,Credit card (automatic),48.66,78.93,No
CUST00009,Female,1,No,No,15,No,No phone service,Fiber optic,No,No,Yes,Month-to-month,Yes,Credit card (automatic),73.87,1119.31,Yes
CUST00010,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,One year,No,Electronic check,91.63,78.05,No
CUST00011,Male,1,No,No,4,Yes,Yes,DSL,Yes,Yes,No,One year,No,Credit card (automatic),51.35,197.29,No
CUST00012,Male,0,Yes,Yes,0,Yes,No,DSL,Yes,No,Yes,One year,Yes,Credit card (automatic),57.43,2.81,No
CUST00013,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,No,Electronic check,89.66,580.39,Yes
CUST00014,Female,0,No,No,8,Yes,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,91.82,707.87,Yes
CUST00015,Male,1,No,No,22,No,No phone service,No,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.1,402.0,No
CUST00016,Female,0,Yes,No,10,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Electronic check,78.5,812.29,Yes
