customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Segment
CUST00000,1,0,0,0,2,1,1,66.05,130.6,1,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0
CUST00001,0,0,0,1,2,1,1,73.18,129.3,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0
CUST00002,1,0,1,1,20,1,0,50.05,1008.91,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,2
CUST00003,1,1,1,0,0,1,1,32.79,0.0,0,False,True,False,True,True,False,True,False,True,False,True,False,False,False,False,2
CUST00004,1,0,0,0,7,1,0,58.72,410.48,1,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0
CUST00005,0,0,0,0,9,1,1,62.42,577.33,1,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,0
CUST00006,1,1,1,0,5,1,1,74.2,370.39,0,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,0
CUST00007,1,0,1,0,9,1,1,86.81,787.63,0,False,True,True,False,False,True,False,False,False,True,False,False,False,False,True,0
CUST00008,1,1,0,1,1,1,1,48.66,78.93,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2
CUST00009,0,1,0,0,15,0,1,73.87,1119.31,1,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,0
CUST00010,1,0,0,0,1,1,0,91.63,78.05,0,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,0
CUST00011,1,1,0,0,4,1,0,51.35,197.29,0,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,2
CUST00012,1,0,1,1,0,1,1,57.43,2.81,0,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,0
CUST00013,1,0,1,0,6,1,0,89.66,580.39,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,0
CUST00014,0,0,0,0,8,1,1,91.82,707.87,1,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,0
CUST00015,1,1,0,0,22,0,0,18.1,402.0,0,True,False,False,True,True,False,True,False,True,False,False,False,False,True,False,2
CUST00016,0,0,1,0,10,1,1,78.5,812.29,1,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,0
CUST00017,0,0,1,0,6,1,1,55.46,345.05,1,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,2
CUST00018,0,0,0,0,21,1,1,53.39,1118.55,0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,2
CUST00019,1,0,1,0,5,1,0,53.85,234.86,0,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,2
CUST00020,0,0,1,1,6,1,1,83.0,528.23,1,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,0
CUST00021,1,0,0,0,7,1,0,76.54,526.32,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,0
CUST00022,0,0,0,0,4,1,0,78.24,293.9,0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,0
CUST00023,0,0,0,0,14,1,1,65.63,923.84,0,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,0
CUST00024,0,0,1,1,1,0,1,60.23,88.77,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0
CUST00025,0,0,0,0,6,1,1,62.73,384.48,1,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,0
